model,case,size,bks,pred,gap_pct,miss,over,rout,mcap,time,prec,total,feasible
llama_lora,la03,10x5,597,652,9.2127,0,0,0,0,0,0,0,True
llama_lora,la04,10x5,590,662,12.2034,0,0,0,0,0,0,0,True
llama_lora,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
llama_lora,la06,15x5,926,880,-4.9676,4,0,0,0,0,0,4,False
llama_lora,la07,15x5,890,975,9.5506,0,2,0,0,0,0,2,False
llama_lora,la08,15x5,863,831,-3.7080,5,0,0,0,0,0,5,False
llama_lora,la09,15x5,951,951,0.0000,0,0,0,0,0,0,0,True
llama_lora,la10,15x5,958,871,-9.0814,5,0,0,0,0,0,5,False
llama_lora,la16,10x10,945,1145,21.1640,0,4,0,0,0,0,4,False
llama_lora,la17,10x10,784,960,22.4490,1,6,3,0,0,0,10,False
llama_lora,la18,10x10,848,897,5.7783,2,0,0,0,0,0,2,False
llama_lora,la19,10x10,842,935,11.0451,0,0,0,0,0,0,0,True
llama_lora,la20,10x10,902,4271,373.5033,0,414,1,155,21,0,591,False
rslora_v4_ck50,ft06,6x6,55,58,5.4545,0,0,0,0,0,0,0,True
rslora_v4_ck50,ft10,10x10,930,4567,391.0753,0,194,2,43,11,0,250,False
rslora_v4_ck50,ft20,20x5,1165,798,-31.5021,50,0,0,0,0,0,50,False
rslora_v4_ck50,la01,10x5,666,773,16.0661,0,0,0,0,0,0,0,True
rslora_v4_ck50,la02,10x5,655,741,13.1298,0,0,0,0,0,0,0,True
rslora_v4_ck50,la03,10x5,597,650,8.8777,0,0,0,0,0,0,0,True
rslora_v4_ck50,la04,10x5,590,644,9.1525,0,0,0,0,0,0,0,True
rslora_v4_ck50,la05,10x5,593,593,0.0000,0,0,0,0,0,0,0,True
rslora_v4_ck50,la06,15x5,926,737,-20.4104,25,0,0,0,0,0,25,False
rslora_v4_ck50,la07,15x5,890,628,-29.4382,25,0,0,0,0,0,25,False
